nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2025-08-14T20:18:17Z,TypeScript,25694,0,19806,19614
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2025-08-14T20:22:42Z,Markdown,142,0,816,595
sindresorhus/awesome,2014-07-11T13:42:37Z,2025-08-14T20:22:56Z,,679,0,354,340
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-08-14T20:07:01Z,Python,6818,0,1181,1150
public-apis/public-apis,2016-03-20T23:49:42Z,2025-08-14T20:18:46Z,Python,1872,0,711,703
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2025-08-14T19:55:50Z,TypeScript,3671,1,2937,2692
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2025-08-14T19:59:14Z,,415,0,516,453
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-08-14T20:21:39Z,Python,200,0,339,91
996icu/996.ICU,2019-03-26T07:31:14Z,2025-08-14T18:11:20Z,,1067,0,0,0
vinta/awesome-python,2014-06-27T21:00:06Z,2025-08-14T20:05:37Z,Python,544,0,0,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2025-08-14T20:17:04Z,,2394,1,806,806
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2025-08-14T20:07:42Z,,182,0,209,79
facebook/react,2013-05-24T16:15:54Z,2025-08-14T20:17:56Z,JavaScript,12090,105,13984,13182
vuejs/vue,2013-07-29T03:24:51Z,2025-08-14T20:17:59Z,TypeScript,1133,249,10028,9673
TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-08-14T19:27:16Z,Python,2975,0,1585,1511
torvalds/linux,2011-09-04T22:48:12Z,2025-08-14T20:19:02Z,C,10,0,0,0
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-08-14T16:12:37Z,JavaScript,302,0,366,229
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-08-14T20:19:33Z,C++,35782,219,40718,39831
ossu/computer-science,2014-05-04T00:18:39Z,2025-08-14T19:23:53Z,HTML,298,0,652,638
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2025-08-14T20:16:25Z,,368,0,944,863
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2025-08-14T20:15:04Z,,122,0,0,0
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2025-08-14T18:29:05Z,,374,0,571,448
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2025-08-14T20:06:00Z,Shell,3371,0,4963,4821
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-08-14T20:22:32Z,Python,3166,67,3372,3217
microsoft/vscode,2015-09-03T20:23:38Z,2025-08-14T20:22:11Z,TypeScript,36016,176,204566,192505
twbs/bootstrap,2011-07-29T21:19:00Z,2025-08-14T20:17:41Z,MDX,8967,93,22749,22343
flutter/flutter,2015-03-06T22:54:58Z,2025-08-14T20:18:21Z,Dart,43702,7,108613,96728
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2025-08-14T19:01:37Z,Jupyter Notebook,13,0,690,118
github/gitignore,2010-11-08T20:17:14Z,2025-08-14T20:17:37Z,,1713,0,0,0
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2025-08-14T19:25:20Z,,317,0,258,136
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-08-14T20:22:01Z,Python,1874,27,7826,5464
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2025-08-14T20:19:26Z,Java,1179,0,1104,1031
ollama/ollama,2023-06-26T19:39:32Z,2025-08-14T20:23:04Z,Go,2446,141,7920,6186
avelino/awesome-go,2014-07-06T13:42:15Z,2025-08-14T20:18:50Z,Go,3455,0,686,680
huggingface/transformers,2018-10-29T13:56:00Z,2025-08-14T20:19:41Z,Python,16559,222,17766,16679
airbnb/javascript,2012-11-01T23:13:50Z,2025-08-14T19:45:42Z,JavaScript,810,0,1364,1268
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2025-08-14T20:10:02Z,Batchfile,6,24,717,717
