nameWithOwner,createdAt,releases,stargazerCount,defaultBranchRef
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,0,151812,main
krahets/hello-algo,2022-11-04T11:08:34Z,9,117007,main
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,0,102392,master
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,0,92713,master
macrozheng/mall,2018-04-04T01:11:44Z,3,81618,master
spring-projects/spring-boot,2012-10-19T15:02:57Z,323,78441,main
doocs/advanced-java,2018-10-06T11:38:30Z,1,78264,main
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,0,76459,master
elastic/elasticsearch,2010-02-08T13:20:56Z,210,73836,main
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,138,67595,main
kdn251/interviews,2017-02-14T18:19:25Z,0,64472,master
TheAlgorithms/Java,2016-07-16T10:21:02Z,0,63438,master
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,46,60649,master
spring-projects/spring-framework,2010-12-08T04:04:45Z,343,58863,main
google/guava,2014-05-29T16:23:17Z,57,51126,master
ReactiveX/RxJava,2013-01-08T20:11:48Z,241,48342,3.x
skylot/jadx,2013-03-18T17:08:21Z,32,45542,master
dbeaver/dbeaver,2015-10-21T08:26:28Z,231,45462,devel
termux/termux-app,2015-10-23T09:42:46Z,95,45216,master
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,63,43918,springboot3
apache/dubbo,2012-06-19T07:56:02Z,111,41382,3.3
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,44,38105,master
eugenp/tutorials,2013-04-29T18:26:36Z,0,37262,master
halo-dev/halo,2018-03-21T12:56:52Z,227,36948,main
alibaba/arthas,2018-08-29T17:15:57Z,59,36735,master
geekxh/hello-algorithm,2020-05-29T05:47:09Z,0,35782,master
airbnb/lottie-android,2016-10-06T22:42:42Z,60,35480,master
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,137,35122,dev
doocs/leetcode,2018-09-16T14:03:03Z,21,34960,main
bumptech/glide,2013-07-08T22:52:33Z,54,34949,master
netty/netty,2010-11-09T09:22:21Z,0,34443,4.2
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,0,33910,master
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,117,33644,master
alibaba/easyexcel,2018-02-06T03:14:08Z,14,33631,master
zxing/zxing,2011-10-12T14:07:27Z,31,33597,master
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,46,33306,master
SeleniumHQ/selenium,2013-01-14T21:40:56Z,108,33255,trunk
alibaba/nacos,2018-06-15T06:49:27Z,85,32066,develop
binarywang/WxJava,2016-01-06T08:24:05Z,30,31933,develop
apache/kafka,2011-08-15T18:06:16Z,0,30939,trunk
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,0,30607,master
chinabugotech/hutool,2014-04-13T07:23:51Z,153,30082,v5-master
keycloak/keycloak,2013-07-02T13:38:51Z,88,29671,main
apolloconfig/apollo,2016-03-04T10:24:23Z,41,29656,master
alibaba/canal,2013-01-13T10:59:52Z,32,29379,master
xuxueli/xxl-job,2015-11-28T12:59:34Z,39,29335,master
conductor-oss/conductor,2023-12-08T06:06:09Z,26,29274,main
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,0,28957,master
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,48,28766,2023.x
alibaba/druid,2011-11-03T05:12:51Z,51,28193,master
lenve/vhr,2018-01-04T08:57:51Z,0,27947,master
DrKLO/Telegram,2013-10-25T14:08:10Z,95,27549,master
crossoverJie/JCSprout,2017-12-17T09:06:50Z,0,27065,master
qiurunze123/miaosha,2018-09-14T04:36:24Z,0,26511,master
ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,0,26080,main
apache/incubator-seata,2018-12-28T08:37:22Z,44,25814,2.x
alibaba/fastjson,2011-11-03T06:58:52Z,84,25749,master
JakeWharton/butterknife,2013-03-05T08:18:59Z,0,25480,master
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,0,25469,master
apache/flink,2014-06-07T07:00:10Z,0,25280,master
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,14,25153,main
OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,73,24870,master
proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,49,24864,master
