city,location_id,location_name,locality,country_name,sensor_id,sensor_name,parameter_id,parameter_name,parameter_displayName,parameter_units,latitude,longitude,datetimeFirst_utc,datetimeLast_utc
São Paulo,5233,Cid.Universitária-USP-Ipen,São Paulo,Brazil,13546,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.56634178,-46.73741428,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5233,Cid.Universitária-USP-Ipen,São Paulo,Brazil,13547,o3 µg/m³,3,o3,O₃ mass,µg/m³,-23.56634178,-46.73741428,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5233,Cid.Universitária-USP-Ipen,São Paulo,Brazil,13548,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.56634178,-46.73741428,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5243,Pinheiros,São Paulo,Brazil,13735,co ppm,8,co,CO,ppm,-23.56145989,-46.70201651,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5243,Pinheiros,São Paulo,Brazil,13736,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.56145989,-46.70201651,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5243,Pinheiros,São Paulo,Brazil,13737,o3 µg/m³,3,o3,O₃ mass,µg/m³,-23.56145989,-46.70201651,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5243,Pinheiros,São Paulo,Brazil,13570,pm10 µg/m³,1,pm10,PM10,µg/m³,-23.56145989,-46.70201651,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5243,Pinheiros,São Paulo,Brazil,13738,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.56145989,-46.70201651,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5252,Congonhas,São Paulo,Brazil,13607,co ppm,8,co,CO,ppm,-23.61632008,-46.66346553,2017-08-10T23:00:00Z,2023-04-05T20:00:00Z
São Paulo,5252,Congonhas,São Paulo,Brazil,13609,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.61632008,-46.66346553,2017-08-10T23:00:00Z,2023-04-05T20:00:00Z
São Paulo,5252,Congonhas,São Paulo,Brazil,13653,pm10 µg/m³,1,pm10,PM10,µg/m³,-23.61632008,-46.66346553,2017-08-10T23:00:00Z,2023-04-05T20:00:00Z
São Paulo,5252,Congonhas,São Paulo,Brazil,13654,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.61632008,-46.66346553,2017-08-10T23:00:00Z,2023-04-05T20:00:00Z
São Paulo,5252,Congonhas,São Paulo,Brazil,13608,so2 µg/m³,6,so2,SO₂ mass,µg/m³,-23.61632008,-46.66346553,2017-08-10T23:00:00Z,2023-04-05T20:00:00Z
São Paulo,5270,Cerqueira César,Cerqueira César,Brazil,13649,co ppm,8,co,CO,ppm,-23.55354256,-46.67270477,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5270,Cerqueira César,Cerqueira César,Brazil,13650,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.55354256,-46.67270477,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5270,Cerqueira César,Cerqueira César,Brazil,13651,pm10 µg/m³,1,pm10,PM10,µg/m³,-23.55354256,-46.67270477,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5270,Cerqueira César,Cerqueira César,Brazil,13652,so2 µg/m³,6,so2,SO₂ mass,µg/m³,-23.55354256,-46.67270477,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5277,Ibirapuera,São Paulo,Brazil,13682,co ppm,8,co,CO,ppm,-23.59184199,-46.6606875,2017-07-01T00:00:00Z,2023-02-16T00:00:00Z
São Paulo,5277,Ibirapuera,São Paulo,Brazil,13683,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.59184199,-46.6606875,2017-07-01T00:00:00Z,2023-02-16T00:00:00Z
São Paulo,5277,Ibirapuera,São Paulo,Brazil,13684,o3 µg/m³,3,o3,O₃ mass,µg/m³,-23.59184199,-46.6606875,2017-07-01T00:00:00Z,2023-02-16T00:00:00Z
São Paulo,5277,Ibirapuera,São Paulo,Brazil,13685,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.59184199,-46.6606875,2017-07-01T00:00:00Z,2023-02-16T00:00:00Z
São Paulo,5282,Parque D.Pedro II,São Paulo,Brazil,13730,co ppm,8,co,CO,ppm,-23.54484566,-46.62767559,2017-08-10T22:00:00Z,2023-04-05T20:00:00Z
São Paulo,5282,Parque D.Pedro II,São Paulo,Brazil,13731,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.54484566,-46.62767559,2017-08-10T22:00:00Z,2023-04-05T20:00:00Z
São Paulo,5282,Parque D.Pedro II,São Paulo,Brazil,13728,o3 µg/m³,3,o3,O₃ mass,µg/m³,-23.54484566,-46.62767559,2017-08-10T22:00:00Z,2023-04-05T20:00:00Z
São Paulo,5282,Parque D.Pedro II,São Paulo,Brazil,13729,pm10 µg/m³,1,pm10,PM10,µg/m³,-23.54484566,-46.62767559,2017-08-10T22:00:00Z,2023-04-05T20:00:00Z
São Paulo,5282,Parque D.Pedro II,São Paulo,Brazil,13701,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.54484566,-46.62767559,2017-08-10T22:00:00Z,2023-04-05T20:00:00Z
São Paulo,5284,Marg.Tietê-Pte Remédios,São Paulo,Brazil,5079362,co ppm,8,co,CO,ppm,-23.51870583,-46.74332004,2022-10-03T20:00:00Z,2022-10-04T19:00:00Z
São Paulo,5284,Marg.Tietê-Pte Remédios,São Paulo,Brazil,5079360,no2 µg/m³,5,no2,NO₂ mass,µg/m³,-23.51870583,-46.74332004,2022-10-03T20:00:00Z,2022-10-04T19:00:00Z
São Paulo,5284,Marg.Tietê-Pte Remédios,São Paulo,Brazil,5079359,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.51870583,-46.74332004,2022-10-03T20:00:00Z,2022-10-04T19:00:00Z
São Paulo,5284,Marg.Tietê-Pte Remédios,São Paulo,Brazil,5079361,so2 µg/m³,6,so2,SO₂ mass,µg/m³,-23.51870583,-46.74332004,2022-10-03T20:00:00Z,2022-10-04T19:00:00Z
São Paulo,5288,Mooca,São Paulo,Brazil,13720,co ppm,8,co,CO,ppm,-23.54973405,-46.60041665,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5288,Mooca,São Paulo,Brazil,13721,o3 µg/m³,3,o3,O₃ mass,µg/m³,-23.54973405,-46.60041665,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5288,Mooca,São Paulo,Brazil,13722,pm10 µg/m³,1,pm10,PM10,µg/m³,-23.54973405,-46.60041665,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5288,Mooca,São Paulo,Brazil,391213,pm25 µg/m³,2,pm25,PM2.5,µg/m³,-23.54973405,-46.60041665,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
São Paulo,5289,N.Senhora do Ó,São Paulo,Brazil,13723,o3 µg/m³,3,o3,O₃ mass,µg/m³,-23.48009871,-46.69205192,2017-07-01T00:00:00Z,2023-04-05T20:00:00Z
