city,sensor_id,pollutant_name,units,value,avg,min,max,median,datetimeFrom_utc,datetimeTo_utc,percentCoverage,observedCount,expectedCount
São Paulo,13546,no2,µg/m³,40.9,40.93344512096671,9.227272987365723,100.0,39.16136360168457,2017-01-01T02:00:00Z,2018-01-01T02:00:00Z,24.0,86,365
São Paulo,13547,o3,µg/m³,36.7,36.74586794230827,0.3333333432674408,96.09091186523438,35.86956596374512,2017-01-01T02:00:00Z,2018-01-01T02:00:00Z,24.0,86,365
São Paulo,13547,o3,µg/m³,55.4,55.40093794028485,0.0,428.0,52.260868072509766,2021-01-01T03:00:00Z,2022-01-01T03:00:00Z,88.0,323,365
São Paulo,13547,o3,µg/m³,49.6,49.62939689220877,0.0,773.0,46.0,2022-01-01T03:00:00Z,2023-01-01T03:00:00Z,96.0,349,365
São Paulo,13547,o3,µg/m³,45.3,45.295179663072936,4.0,85.35,45.91304347826087,2023-01-01T03:00:00Z,2024-01-01T03:00:00Z,14.0,51,365
São Paulo,13548,pm25,µg/m³,21.8,21.767712202529573,0.0,52.33333206176758,20.775253295898438,2017-01-01T02:00:00Z,2018-01-01T02:00:00Z,24.0,86,365
São Paulo,13548,pm25,µg/m³,13.6,13.639213288917595,0.0,87.5,11.625,2021-01-01T03:00:00Z,2022-01-01T03:00:00Z,90.0,329,365
São Paulo,13548,pm25,µg/m³,12.8,12.797137267722023,0.0,43.0,10.645833492279053,2022-01-01T03:00:00Z,2023-01-01T03:00:00Z,99.0,360,365
São Paulo,13548,pm25,µg/m³,11.8,11.799570908352383,0.0,27.66666603088379,11.916666666666666,2023-01-01T03:00:00Z,2024-01-01T03:00:00Z,14.0,51,365
São Paulo,13735,co,ppm,0.558,0.5583766637576951,0.07500000298023224,1.5299999713897705,0.49817928671836853,2017-01-01T02:00:00Z,2018-01-01T02:00:00Z,25.0,90,365
São Paulo,13735,co,ppm,0.397,0.3968058960996275,0.10000000149011612,0.9090909361839294,0.4000000059604645,2021-01-01T03:00:00Z,2022-01-01T03:00:00Z,35.0,127,365
São Paulo,13735,co,ppm,0.586,0.5864290765885796,0.03846153989434242,3.859999895095825,0.48452380299568176,2022-01-01T03:00:00Z,2023-01-01T03:00:00Z,96.0,350,365
São Paulo,13735,co,ppm,0.46,0.45975834729486437,0.17272727191448212,0.9565217391304348,0.4249999999999999,2023-01-01T03:00:00Z,2024-01-01T03:00:00Z,14.0,51,365
São Paulo,13736,no2,µg/m³,47.3,47.29261070887248,10.090909004211426,92.5,44.774248123168945,2017-01-01T02:00:00Z,2018-01-01T02:00:00Z,25.0,90,365
São Paulo,13736,no2,µg/m³,33.0,33.01086073073606,5.7272725105285645,121.11111111111111,29.72282600402832,2021-01-01T03:00:00Z,2022-01-01T03:00:00Z,76.0,278,365
São Paulo,13736,no2,µg/m³,38.9,38.91794259064681,10.0,137.2857208251953,36.47727394104004,2022-01-01T03:00:00Z,2023-01-01T03:00:00Z,78.0,286,365
São Paulo,13736,no2,µg/m³,35.8,35.83304759760027,13.136363983154297,62.083333333333336,36.95454545454545,2023-01-01T03:00:00Z,2024-01-01T03:00:00Z,14.0,51,365
São Paulo,13737,o3,µg/m³,34.6,34.599886531300015,2.3125,83.31818389892578,33.48309135437012,2017-01-01T02:00:00Z,2018-01-01T02:00:00Z,25.0,90,365
São Paulo,13737,o3,µg/m³,31.5,31.53185404463457,0.0,68.28571428571429,29.238094329833984,2021-01-01T03:00:00Z,2022-01-01T03:00:00Z,94.0,343,365
São Paulo,13737,o3,µg/m³,32.4,32.375246568095115,0.0,294.3333435058594,30.74350643157959,2022-01-01T03:00:00Z,2023-01-01T03:00:00Z,92.0,336,365
